Date,Open,High,Low,Close,Volume,"EMA(5,Modern)","EMA(10,Modern)","EMA(20,Modern)","EMA(50,Modern)","EMA(100,Modern)","KST(10,10|15,10|20,10|30,15)",SMA(10),RSI(14),"MACD(12,26)","EMA(9,Modern)",Histogram
10/3/16,118.53,118.7,118.09,118.55,19216438,118.3956025,118.1190071,117.6582459,116.1477801,113.8385711,10.86210825,6.946199017,56.43142312,0.61978654,0.56124959,0.05853695
10/4/16,118.86,119.16,117.92,118.37,21239742,118.3870683,118.1646422,117.726032,116.234926,113.9283024,12.15561523,7.728541697,55.36435576,0.602218121,0.569443296,0.032774825
10/5/16,118.7,119.17,118.67,118.79,14481285,118.5213789,118.2783436,117.8273623,116.335125,114.0245737,12.57243383,8.629164346,57.38902362,0.615095079,0.578573653,0.036521427
10/6/16,118.63,118.981,118.15,118.73,11987056,118.5909193,118.3604629,117.9133278,116.4290416,114.1177504,11.81823716,9.367069526,56.99131291,0.613387909,0.585536504,0.027851405
10/7/16,118.86,119.01,117.89,118.47,19984158,118.5506128,118.3803788,117.9663442,116.5090792,114.2039336,12.11378877,9.939875799,55.20593164,0.584319466,0.585293096,-0.00097363
10/10/16,119.06,119.48,119.03,119.22,19687341,118.7737419,118.5330372,118.08574,116.6153898,114.3032616,13.72610278,10.68333733,59.17860412,0.614715193,0.591177516,0.023537678
10/11/16,119.1,119.14,117,117.52,27774426,118.3558279,118.3488486,118.03186,116.6508647,114.3669594,13.57587394,11.30241556,48.6470771,0.495911673,0.572124347,-0.076212674
10/12/16,117.575,117.82,117.06,117.42,14267824,118.0438853,118.179967,117.9735876,116.6810269,114.4274157,12.73989539,11.73764306,48.10476353,0.389203368,0.535540151,-0.146336783
10/13/16,116.635,117.32,115.94,117,22821011,117.6959235,117.9654276,117.880865,116.6935357,114.4783579,11.23608855,12.05720854,45.79561639,0.267660356,0.481964192,-0.214303836
10/14/16,117.58,118.05,117.07,117.14,21313321,117.5106157,117.8153498,117.8103064,116.7110441,114.5310637,9.271591747,12.00717356,46.71382528,0.180552181,0.42168179,-0.241129609
10/17/16,117.1,117.3,116.672,116.82,14182694,117.2804105,117.6343771,117.7159915,116.7153169,114.5763892,8.047614912,11.72572423,44.84392962,0.084720394,0.354289511,-0.269569117
10/18/16,118.18,118.41,117.8,117.86,19276656,117.473607,117.6753995,117.7297066,116.7602064,114.6414112,7.154266135,11.22558932,51.62175117,0.091635998,0.301758808,-0.21012281
10/19/16,117.77,118.02,117.64,117.85,13702918,117.5990713,117.707145,117.7411631,116.8029434,114.7049476,5.679176536,10.53626359,51.55614743,0.095212201,0.260449487,-0.165237286
10/20/16,117.68,117.97,117.03,117.71,18132245,117.6360475,117.7076641,117.7381952,116.8385142,114.7644536,4.661911055,9.820630981,50.5868737,0.085760939,0.225511777,-0.139750838
10/21/16,117.8,118.22,117.41,118.15,15707804,117.807365,117.7880888,117.7774147,116.8899451,114.8314941,3.75819374,8.985071478,53.5430223,0.112478486,0.202905119,-0.090426633
10/24/16,118.93,119.65,118.8918,119.57,19142985,118.39491,118.1120727,117.9481371,116.9950452,114.9253259,3.655726597,7.97803386,61.53981212,0.245405585,0.211405212,0.034000373
10/25/16,119.62,119.66,119.01,119.19,20341835,118.65994,118.3080595,118.0664098,117.0811219,115.0097749,4.194885714,7.039935038,58.63127888,0.316440713,0.232412312,0.0840284
10/26/16,118.41,119.03,118.03,118.38,20463696,118.5666267,118.3211396,118.0962755,117.1320583,115.076512,4.254667579,6.191412256,52.8927554,0.303873468,0.246704544,0.057168925
10/27/16,118.9,118.99,117.67,117.84,19099790,118.3244178,118.2336596,118.0718683,117.1598207,115.1312346,4.366727182,5.50447612,49.42005405,0.247487468,0.246861128,0.00062634
10/28/16,117.47,118.11,116.74,117.1,35369254,117.9162785,118.0275397,117.9793094,117.1574748,115.17022,3.626701601,4.939987105,45.05456697,0.141458693,0.225780641,-0.084321948
10/31/16,117.53,117.53,116.93,116.99,18749357,117.607519,117.8388961,117.8850895,117.1509072,115.2062553,2.587451427,4.393970757,44.42634128,0.048000722,0.190224658,-0.142223935
11/1/16,117.19,117.21,115.1047,116.11,23498712,117.108346,117.5245514,117.7160333,117.1100873,115.2241512,1.221709494,3.800715093,39.66177194,-0.095967782,0.13298617,-0.228953952
11/2/16,116.05,116.3,114.89,115.18,26960093,116.465564,117.0982693,117.4745064,117.0343976,115.2232769,-0.866640805,3.146133359,35.34732957,-0.281858003,0.050017335,-0.331875338
11/3/16,115.02,115.37,113.92,114.05,36205193,115.660376,116.5440385,117.1483629,116.9173624,115.2000437,-3.66556105,2.313386148,30.94286376,-0.514428882,-0.062871908,-0.451556974
11/4/16,113.72,114.54,113.45,113.65,26997454,114.9902507,116.0178497,116.8151855,116.7892305,115.1693498,-6.840241513,1.253542623,29.53969819,-0.722688929,-0.194835312,-0.527853616
11/7/16,115.45,116.47,115.3,116.35,26591245,115.4435004,116.0782407,116.7708821,116.7720058,115.192729,-8.840455816,0.003924381,47.00789394,-0.662235245,-0.288315299,-0.373919946
11/8/16,116.21,117.64,115.96,117.11,20777919,115.9990003,116.2658333,116.803179,116.7852605,115.2306947,-10.01729705,-1.417293895,50.71196703,-0.546697627,-0.339991765,-0.206705863
11/9/16,115.71,117.84,115.6,117.65,70234393,116.5493335,116.5174999,116.8838287,116.8191718,115.2786018,-10.20605202,-2.863365855,53.21430686,-0.406869606,-0.353367333,-0.053502273
11/10/16,118.14,118.38,114.195,115.75,72825446,116.282889,116.3779545,116.775845,116.7772435,115.2879364,-11.54096544,-4.454135117,44.62882328,-0.444247998,-0.371543466,-0.072704532
11/11/16,115.21,116.05,114.84,115.8,41115166,116.121926,116.2728719,116.6829074,116.7389202,115.2980763,-13.30782685,-6.147587962,44.88084617,-0.464481804,-0.390131133,-0.074350671
